Date,Open,High,Low,Close_,AdjClose__,Volume
"Feb 24, 1986","1,524.00","1,534.60","1,524.00","1,533.00","1,533.00",
"Feb 21, 1986","1,497.30","1,518.00","1,497.30","1,518.00","1,518.00",
"Feb 20, 1986","1,491.40","1,492.60","1,487.00","1,492.10","1,492.10",
"Feb 19, 1986","1,491.90","1,501.10","1,488.80","1,491.40","1,491.40",
"Feb 18, 1986","1,480.40","1,492.00","1,480.40","1,491.90","1,491.90",
"Feb 17, 1986","1,477.90","1,482.40","1,467.10","1,475.30","1,475.30",
"Feb 14, 1986","1,473.80","1,478.40","1,473.80","1,477.90","1,477.90",
"Feb 13, 1986","1,470.00","1,473.70","1,466.20","1,473.50","1,473.50",
"Feb 12, 1986","1,453.90","1,470.90","1,452.30","1,470.00","1,470.00",
"Feb 11, 1986","1,461.50","1,462.50","1,449.30","1,453.90","1,453.90",
